1037,2023-01-01,459.26
1235,2023-01-02,456.12
1908,2023-01-03,156.48
1072,2023-01-04,296.35
1767,2023-01-05,287.3
1905,2023-01-06,310.83
1715,2023-01-07,478.7
1645,2023-01-08,137.88
1847,2023-01-09,123.2
1960,2023-01-10,271.39
1144,2023-01-11,475.47
1129,2023-01-12,251.6
1972,2023-01-13,274.89
1583,2023-01-14,385.09
1749,2023-01-15,32.22
1508,2023-01-16,78.58
1390,2023-01-17,398.28
1281,2023-01-18,24.6
1178,2023-01-19,442.73
1276,2023-01-20,274.99
1254,2023-01-21,229.51
1357,2023-01-22,447.15
1914,2023-01-23,195.02
1468,2023-01-24,273.83
1907,2023-01-25,329.63
1252,2023-01-26,187.02
1490,2023-01-27,289.79
1668,2023-01-28,322.54
1925,2023-01-29,71.89
1398,2023-01-30,348.2
1562,2023-01-31,327.4
1580,2023-02-01,183.43
1215,2023-02-02,383.98
1983,2023-02-03,184.7
1753,2023-02-04,378.87
1503,2023-02-05,441.86
1478,2023-02-06,15.72
1864,2023-02-07,254.07
1086,2023-02-08,46.16
1141,2023-02-09,395.61
1393,2023-02-10,41.39
1007,2023-02-11,184.1
1319,2023-02-12,471.5
1829,2023-02-13,196.1
1534,2023-02-14,383.83
1313,2023-02-15,388.08
1513,2023-02-16,157.67
1896,2023-02-17,388.64
1316,2023-02-18,84.94
1209,2023-02-19,293.53
1264,2023-02-20,14.41
1728,2023-02-21,357.43
1653,2023-02-22,240.61
1627,2023-02-23,384.65
1431,2023-02-24,239.02
1633,2023-02-25,141.81
1456,2023-02-26,417.53
1542,2023-02-27,280.15
1071,2023-02-28,44.34
1387,2023-03-01,241.51
1454,2023-03-02,373.95
1917,2023-03-03,104.06
1561,2023-03-04,237.51
1313,2023-03-05,122.88
1515,2023-03-06,259.04
1964,2023-03-07,112.2
1792,2023-03-08,34.16
1497,2023-03-09,264.24
1043,2023-03-10,94.42
1588,2023-03-11,204.19
1026,2023-03-12,62.61
1820,2023-03-13,259.81
1336,2023-03-14,60.05
1621,2023-03-15,151.47
1883,2023-03-16,123.56
1297,2023-03-17,484.16
1466,2023-03-18,146.38
1015,2023-03-19,124.48
1064,2023-03-20,54.86
1196,2023-03-21,289.33
1025,2023-03-22,214.78
1367,2023-03-23,190.24
1738,2023-03-24,408.37
1471,2023-03-25,151.98
1903,2023-03-26,361.52
1282,2023-03-27,310.34
1665,2023-03-28,219.19
1616,2023-03-29,378.42
1022,2023-03-30,219.63
1777,2023-03-31,219.91
1707,2023-04-01,187.33
1999,2023-04-02,85.14
1126,2023-04-03,469.22
1279,2023-04-04,459.04
1381,2023-04-05,393.16
1356,2023-04-06,312.0
1155,2023-04-07,27.64
1933,2023-04-08,330.62
1313,2023-04-09,73.59
1595,2023-04-10,154.24
