1874,2023-01-01,422.11
1664,2023-01-02,349.39
1249,2023-01-03,228.49
1643,2023-01-04,187.55
1952,2023-01-05,262.89
1968,2023-01-06,234.09
1256,2023-01-07,406.1
1789,2023-01-08,164.98
1659,2023-01-09,423.46
1714,2023-01-10,249.75
1875,2023-01-11,274.66
1681,2023-01-12,414.8
1650,2023-01-13,265.59
1917,2023-01-14,79.87
1119,2023-01-15,158.11
1422,2023-01-16,405.44
1480,2023-01-17,166.55
1660,2023-01-18,20.4
1940,2023-01-19,246.4
1605,2023-01-20,22.75
1423,2023-01-21,257.73
1398,2023-01-22,459.83
1504,2023-01-23,111.41
1538,2023-01-24,463.61
1337,2023-01-25,145.89
1474,2023-01-26,96.27
1662,2023-01-27,495.25
1834,2023-01-28,349.4
1258,2023-01-29,378.55
1959,2023-01-30,66.95
1316,2023-01-31,52.14
1641,2023-02-01,336.16
1947,2023-02-02,171.49
1858,2023-02-03,187.21
1581,2023-02-04,267.79
1872,2023-02-05,218.12
1622,2023-02-06,411.69
1609,2023-02-07,289.93
1413,2023-02-08,441.74
1618,2023-02-09,402.3
1152,2023-02-10,181.46
1507,2023-02-11,388.64
1830,2023-02-12,449.28
1519,2023-02-13,395.01
1171,2023-02-14,148.87
1545,2023-02-15,442.14
1379,2023-02-16,277.24
1335,2023-02-17,415.73
1176,2023-02-18,124.51
1805,2023-02-19,109.41
1020,2023-02-20,479.58
1862,2023-02-21,385.41
1561,2023-02-22,102.24
1405,2023-02-23,240.0
1383,2023-02-24,256.24
1718,2023-02-25,94.46
1500,2023-02-26,156.22
1540,2023-02-27,141.72
1887,2023-02-28,444.58
1566,2023-03-01,256.6
1000,2023-03-02,290.4
1704,2023-03-03,177.79
1274,2023-03-04,308.73
1372,2023-03-05,69.1
1959,2023-03-06,29.07
1677,2023-03-07,499.99
1184,2023-03-08,141.29
1952,2023-03-09,136.03
1967,2023-03-10,145.55
1165,2023-03-11,133.35
1765,2023-03-12,449.89
1686,2023-03-13,419.27
1545,2023-03-14,81.69
1113,2023-03-15,497.77
1001,2023-03-16,184.31
1853,2023-03-17,278.09
1117,2023-03-18,250.99
1887,2023-03-19,73.53
1970,2023-03-20,431.43
1747,2023-03-21,117.01
1892,2023-03-22,413.92
1996,2023-03-23,499.16
1611,2023-03-24,495.73
1731,2023-03-25,87.26
1912,2023-03-26,240.63
1511,2023-03-27,356.64
1848,2023-03-28,176.6
1672,2023-03-29,351.41
1912,2023-03-30,376.72
1274,2023-03-31,410.35
1843,2023-04-01,425.38
1183,2023-04-02,49.97
1864,2023-04-03,160.77
1223,2023-04-04,284.88
1141,2023-04-05,460.73
1421,2023-04-06,56.49
1414,2023-04-07,208.89
1560,2023-04-08,273.85
1957,2023-04-09,328.29
1289,2023-04-10,161.88
